Age,DistanceFromHome,MonthlyIncome,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Department,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,JobRole,OverTime,WorkLifeBalance,Attrition
41,27,2,2341,1,6,1,0,0,Research & Development,Very High,High,Low,Laboratory Technician,No,Better,0
42,26,25,2293,1,2,1,0,1,Research & Development,Low,Low,High,Laboratory Technician,No,Good,1
43,27,8,8726,9,0,9,8,7,Sales,Very High,High,High,Sales Executive,No,Better,0
44,30,1,4011,12,2,12,8,7,Research & Development,High,High,Very High,Laboratory Technician,No,Better,0
45,41,12,19545,23,0,22,15,8,Research & Development,Medium,High,High,Research Director,No,Better,1
46,34,23,4568,10,2,9,5,7,Sales,Medium,High,High,Sales Executive,No,Better,0
47,37,19,3022,8,1,1,0,0,Research & Development,Medium,High,Medium,Research Scientist,No,Better,0
48,46,5,5772,14,4,9,6,8,Sales,Low,High,Very High,Sales Executive,Yes,Better,0
49,35,8,2269,1,2,1,0,1,Research & Development,Very High,Very High,Very High,Laboratory Technician,No,Better,0
50,48,1,5381,23,2,1,0,0,Research & Development,Low,Medium,High,Laboratory Technician,Yes,Better,1
51,28,5,3441,2,3,2,2,2,Research & Development,High,High,High,Laboratory Technician,Yes,Good,1
52,44,1,5454,9,2,4,3,3,Sales,Medium,High,Low,Sales Executive,Yes,Good,0
53,35,11,9884,10,3,4,0,3,Research & Development,High,Medium,Low,Healthcare Representative,Yes,Better,0
54,26,23,4157,5,2,2,2,0,Sales,High,Medium,Very High,Sales Executive,Yes,Good,0
55,33,1,13458,15,1,15,14,12,Research & Development,Low,High,Very High,Research Director,Yes,Better,0
56,35,18,9069,9,3,9,8,8,Sales,Medium,High,Low,Sales Executive,No,Good,0
57,35,23,4014,4,3,2,2,2,Research & Development,High,High,Low,Laboratory Technician,Yes,Better,0
58,31,7,5915,10,3,7,7,7,Research & Development,Very High,High,Very High,Laboratory Technician,No,Good,0
59,37,1,5993,7,2,7,5,7,Research & Development,Low,Medium,High,Manufacturing Director,No,Best,0
60,32,1,6162,9,3,9,8,8,Research & Development,Low,High,Very High,Manufacturing Director,Yes,Better,0
61,38,29,2406,10,2,10,3,9,Research & Development,Very High,High,Very High,Laboratory Technician,No,Better,0
62,50,7,18740,29,2,27,3,8,Research & Development,Medium,Medium,High,Research Director,Yes,Good,0
63,59,25,7637,28,3,21,16,9,Sales,Low,High,Low,Sales Executive,No,Good,0
64,36,8,10096,17,2,17,14,8,Research & Development,High,High,High,Healthcare Representative,No,Better,0
65,55,8,14756,21,2,5,0,2,Research & Development,Very High,High,High,Manager,Yes,Better,0
66,36,11,6499,6,3,6,5,3,Research & Development,Medium,Medium,Medium,Manufacturing Director,No,Better,0
67,45,7,9724,25,2,1,0,0,Research & Development,Medium,High,Low,Research Scientist,No,Better,0
68,35,1,2194,5,2,3,2,2,Research & Development,Medium,High,Low,Research Scientist,No,Good,0
69,36,9,3388,2,0,1,0,0,Research & Development,Very High,Medium,High,Research Scientist,Yes,Good,1
70,59,1,5473,20,2,4,3,3,Sales,Low,Medium,High,Sales Executive,No,Good,0
71,29,2,2703,6,3,5,4,4,Research & Development,High,High,Medium,Research Scientist,No,Better,0
72,31,1,2501,1,4,1,1,0,Research & Development,High,High,Medium,Research Scientist,No,Better,0
73,32,1,6220,10,3,10,4,9,Research & Development,Medium,High,Medium,Research Scientist,No,Better,0
74,36,6,3038,5,3,1,0,0,Research & Development,Medium,Very High,Very High,Laboratory Technician,No,Better,0
75,31,8,4424,11,2,11,7,8,Research & Development,High,High,Very High,Manufacturing Director,No,Better,0
76,35,1,4312,16,2,15,13,8,Sales,High,Medium,Low,Sales Executive,No,Better,0
77,45,6,13245,17,3,0,0,0,Research & Development,Very High,High,Low,Research Director,Yes,Best,0
78,37,7,13664,16,3,5,2,2,Research & Development,Low,High,High,Research Director,No,Best,0
79,46,5,5021,16,2,4,2,2,Human Resources,Medium,High,Medium,Human Resources,Yes,Better,0
80,30,1,5126,10,1,10,8,0,Research & Development,Very High,Medium,Very High,Laboratory Technician,Yes,Good,0
81,35,1,2859,6,3,6,4,4,Research & Development,Medium,Medium,High,Research Scientist,No,Better,0
82,55,1,10239,24,4,1,0,0,Sales,Low,High,Very High,Sales Executive,No,Better,0
83,38,6,5329,17,3,13,11,9,Research & Development,Medium,Low,Very High,Research Scientist,Yes,Better,0
84,34,1,4325,5,2,5,2,3,Research & Development,Low,High,Medium,Manufacturing Director,No,Better,0
85,56,7,7260,37,3,6,4,2,Research & Development,Very High,Low,Very High,Manufacturing Director,No,Good,0
86,23,2,2322,3,3,0,0,0,Sales,High,High,Low,Sales Representative,No,Better,0
87,51,9,2075,10,4,4,2,3,Research & Development,Very High,High,Very High,Laboratory Technician,No,Better,0
88,30,2,4152,11,3,11,10,8,Research & Development,High,Medium,Very High,Healthcare Representative,No,Better,0
89,46,9,9619,9,3,9,8,7,Sales,High,Medium,Very High,Sales Executive,No,Better,1
90,40,1,13503,22,3,22,3,11,Research & Development,High,Medium,Medium,Healthcare Representative,No,Good,0
91,51,21,5441,11,2,10,7,0,Sales,High,High,Very High,Sales Executive,Yes,Bad,0
92,30,4,5209,11,4,11,8,7,Sales,High,Medium,Medium,Sales Executive,Yes,Good,0
93,46,1,10673,21,5,10,9,5,Research & Development,High,Medium,Low,Healthcare Representative,Yes,Good,0
94,32,6,5010,12,0,11,8,7,Sales,Medium,High,High,Sales Executive,No,Better,0
95,54,2,13549,16,5,4,3,3,Research & Development,Low,High,High,Research Director,No,Bad,0
96,24,3,4999,4,2,3,2,2,Sales,Low,High,High,Sales Executive,No,Good,0
97,28,4,4221,5,3,5,4,4,Sales,Medium,High,High,Sales Executive,No,Best,0
98,58,10,13872,38,1,37,10,8,Sales,Very High,High,High,Sales Executive,No,Good,0
99,44,23,2042,17,3,3,2,2,Research & Development,Medium,High,Medium,Laboratory Technician,No,Best,0
100,37,6,2073,7,3,3,2,2,Human Resources,High,High,Low,Human Resources,Yes,Better,1
101,32,1,2956,1,2,1,0,0,Research & Development,Very High,High,Low,Research Scientist,No,Better,0
102,20,6,2926,1,5,1,0,0,Research & Development,Very High,Medium,Very High,Laboratory Technician,Yes,Better,1
103,34,6,4809,16,3,16,13,10,Research & Development,Low,High,High,Research Scientist,No,Better,0
104,37,2,5163,17,2,1,0,0,Research & Development,High,Medium,Very High,Healthcare Representative,No,Best,0
105,59,2,18844,30,3,3,2,2,Human Resources,High,Medium,Very High,Manager,No,Better,0
106,50,1,18172,28,1,8,3,7,Research & Development,Low,High,Medium,Research Director,Yes,Good,0
107,25,5,5744,6,1,6,4,3,Sales,High,Medium,High,Sales Executive,Yes,Better,1
108,25,7,2889,2,2,2,2,1,Research & Development,Very High,Medium,Very High,Research Scientist,No,Better,0
109,22,15,2871,1,5,0,0,0,Research & Development,Medium,High,Very High,Laboratory Technician,No,Better,0
110,51,1,7484,23,1,13,12,8,Research & Development,Low,Medium,Low,Healthcare Representative,No,Good,0
111,34,7,6074,9,3,9,7,6,Research & Development,Low,Low,High,Laboratory Technician,Yes,Better,1
112,54,26,17328,23,3,5,3,4,Human Resources,Very High,Very High,Very High,Manager,Yes,Better,0
113,24,18,2774,6,2,5,3,2,Research & Development,Medium,High,High,Laboratory Technician,No,Better,0
114,34,6,4505,12,3,1,0,0,Research & Development,High,Medium,Medium,Research Scientist,No,Better,0
115,37,3,7428,12,3,5,3,3,Sales,High,High,Very High,Sales Executive,No,Better,0
116,34,5,11631,14,6,11,10,8,Research & Development,High,Medium,Low,Manager,No,Better,0
117,36,11,9738,10,6,9,7,8,Sales,Medium,High,Very High,Sales Executive,No,Better,0
118,36,3,2835,7,2,1,0,0,Research & Development,Low,High,Very High,Laboratory Technician,No,Better,0
119,43,26,16959,25,3,25,12,12,Sales,High,High,Very High,Manager,Yes,Best,0
120,30,23,2613,10,2,10,7,9,Research & Development,Low,Low,High,Research Scientist,No,Good,0
121,33,22,6146,8,2,7,7,7,Sales,High,High,Medium,Sales Executive,No,Best,0
122,56,14,4963,7,2,5,4,3,Research & Development,Medium,High,Medium,Research Scientist,Yes,Better,1
123,51,6,19537,23,5,20,18,15,Research & Development,Low,High,High,Research Director,No,Better,0
124,31,6,6172,12,3,7,7,7,Sales,Medium,Low,High,Sales Executive,Yes,Good,1
125,26,6,2368,5,3,5,4,3,Research & Development,High,Medium,Medium,Research Scientist,No,Good,0
126,58,23,10312,40,3,40,10,6,Research & Development,Very High,High,Very High,Healthcare Representative,No,Good,1
127,19,22,1675,0,2,0,0,0,Sales,Very High,High,High,Sales Representative,Yes,Good,1
128,22,2,2523,3,2,2,1,1,Research & Development,High,High,Very High,Laboratory Technician,No,Better,0
129,49,20,6567,16,2,15,11,11,Research & Development,High,High,Low,Manufacturing Director,No,Good,0
130,43,28,4739,18,2,3,2,2,Research & Development,Medium,Very High,High,Research Scientist,No,Better,0
131,50,12,9208,16,3,2,2,1,Sales,High,High,Very High,Sales Executive,No,Better,0
132,31,20,4559,4,2,2,2,2,Sales,Medium,Low,High,Sales Executive,Yes,Better,1
133,41,9,8189,12,2,9,7,7,Sales,High,High,High,Sales Executive,Yes,Better,0
134,26,25,2942,8,3,8,7,7,Human Resources,High,High,High,Human Resources,No,Better,0
135,36,6,4941,7,0,3,2,1,Research & Development,Medium,High,Medium,Manufacturing Director,No,Better,0
136,51,8,10650,18,2,4,2,3,Research & Development,Low,Low,Very High,Manufacturing Director,No,Better,1
137,39,4,5902,17,1,15,11,9,Sales,Very High,Medium,High,Sales Executive,No,Best,0
138,25,28,8639,6,3,2,2,2,Sales,Low,Medium,High,Sales Executive,No,Better,0
139,30,9,6347,12,2,11,9,7,Human Resources,High,High,Very High,Human Resources,Yes,Bad,0
140,32,9,4200,10,2,5,4,4,Research & Development,Low,High,Low,Laboratory Technician,No,Best,1
141,45,29,3452,9,2,6,5,3,Research & Development,High,High,Very High,Research Scientist,No,Good,0
142,38,3,4317,19,2,3,2,2,Research & Development,Very High,High,High,Research Scientist,Yes,Better,0
143,30,18,2632,5,4,5,4,4,Research & Development,Low,High,High,Research Scientist,No,Good,0
144,32,9,4668,9,2,8,7,7,Sales,Very High,Low,Very High,Sales Executive,No,Best,0
145,30,5,3204,8,3,3,2,2,Research & Development,Very High,High,Low,Research Scientist,No,Better,0
146,30,2,2720,6,3,5,3,2,Research & Development,Medium,Medium,Very High,Laboratory Technician,No,Better,0
147,41,10,17181,21,2,7,6,7,Research & Development,Very High,Medium,Low,Manager,No,Good,0
148,41,9,2238,7,2,5,0,4,Research & Development,High,High,Low,Laboratory Technician,No,Better,0
149,19,3,1483,1,3,1,0,0,Research & Development,Medium,High,Medium,Laboratory Technician,No,Better,0
150,40,26,5605,20,2,20,7,13,Research & Development,Medium,High,Medium,Research Scientist,No,Better,0
151,35,1,7295,10,3,10,8,6,Sales,High,High,Medium,Sales Executive,No,Better,0
152,53,6,2306,13,3,7,7,5,Sales,Medium,High,High,Sales Representative,Yes,Bad,0
153,45,9,2348,20,2,17,9,15,Research & Development,Medium,High,Medium,Laboratory Technician,No,Bad,0
154,32,8,8998,9,2,9,8,7,Sales,Medium,High,Very High,Sales Executive,No,Better,0
155,29,1,4319,10,1,10,7,9,Research & Development,Very High,High,High,Manufacturing Director,No,Better,0
156,51,7,6132,10,2,1,0,0,Research & Development,Medium,Medium,High,Manufacturing Director,No,Better,0
157,58,9,3346,9,3,1,0,0,Research & Development,Medium,Medium,Medium,Research Scientist,Yes,Good,0
158,40,4,10855,15,2,12,11,11,Sales,High,Medium,Very High,Sales Executive,No,Good,0
159,34,2,2231,6,3,4,3,2,Sales,High,High,High,Sales Representative,No,Better,0
160,22,19,2323,2,6,2,2,2,Research & Development,High,High,Very High,Research Scientist,No,Better,0
161,27,9,2024,6,1,2,2,2,Research & Development,Very High,High,Medium,Research Scientist,No,Bad,0
162,28,21,2713,5,2,5,2,2,Research & Development,High,High,Very High,Research Scientist,No,Bad,0
163,57,24,9439,12,2,5,3,4,Research & Development,High,Very High,Very High,Healthcare Representative,Yes,Bad,0
164,27,3,2566,1,2,1,1,1,Research & Development,High,Medium,High,Research Scientist,Yes,Good,0
165,50,11,19926,21,5,5,4,4,Research & Development,High,High,Medium,Manager,No,Better,0
166,41,14,2451,13,2,9,8,8,Research & Development,Low,High,High,Research Scientist,No,Better,0
167,30,5,9419,12,2,10,9,4,Sales,Medium,High,Very High,Sales Executive,No,Better,0
168,38,1,8686,12,2,8,3,7,Sales,Low,Medium,Very High,Sales Executive,No,Best,0
169,32,6,3038,8,2,5,4,4,Research & Development,High,High,High,Research Scientist,No,Better,0
170,27,17,3058,6,3,5,2,1,Research & Development,High,High,Medium,Research Scientist,Yes,Good,0
171,19,1,2325,1,5,0,0,0,Sales,High,Low,Low,Sales Representative,No,Best,1
172,36,3,2088,13,3,8,7,2,Research & Development,Very High,High,Medium,Laboratory Technician,No,Good,0
173,30,9,3072,12,4,12,9,10,Research & Development,High,High,Low,Laboratory Technician,No,Better,0
174,45,4,5006,9,3,5,4,3,Sales,High,High,Low,Sales Executive,Yes,Best,0
175,56,8,4257,19,3,2,2,2,Research & Development,High,High,Low,Research Scientist,Yes,Better,0
176,33,2,2500,4,2,3,1,2,Research & Development,High,High,Very High,Research Scientist,No,Best,0
177,19,2,1102,1,3,1,0,0,Research & Development,Medium,Medium,Very High,Laboratory Technician,No,Good,1
178,46,1,10453,24,2,24,13,7,Sales,Medium,High,Low,Sales Executive,No,Better,0
179,38,9,2288,2,3,2,2,1,Research & Development,High,High,Very High,Laboratory Technician,No,Better,0
180,31,12,3929,7,0,4,2,2,Research & Development,High,High,Very High,Research Scientist,Yes,Better,0
181,34,27,2311,9,3,3,2,2,Research & Development,Very High,High,Medium,Research Scientist,No,Better,0
182,41,20,3140,4,5,4,3,2,Sales,Medium,High,Medium,Sales Representative,Yes,Good,1
183,50,1,3690,5,2,3,2,2,Research & Development,High,Medium,High,Laboratory Technician,No,Good,0
184,53,13,4450,5,3,4,2,3,Research & Development,Very High,Very High,Low,Manufacturing Director,No,Better,0
185,33,14,2756,8,5,8,7,6,Research & Development,Very High,High,Medium,Research Scientist,No,Better,0
186,40,4,19033,21,2,20,8,9,Research & Development,Very High,High,High,Manager,No,Better,0
187,55,14,18722,36,3,24,15,15,Research & Development,High,Very High,Medium,Research Director,No,Better,0
188,34,2,9547,10,2,10,9,9,Research & Development,Very High,Medium,High,Manufacturing Director,No,Good,0
189,51,3,13734,21,6,7,7,0,Research & Development,Very High,High,Medium,Healthcare Representative,No,Better,0
190,52,1,19999,34,5,33,18,9,Research & Development,High,Medium,High,Manager,No,Better,0
191,27,9,2279,7,2,7,7,3,Research & Development,Very High,High,Medium,Research Scientist,No,Good,0
192,35,23,5916,8,1,1,0,1,Research & Development,Medium,Medium,High,Manufacturing Director,Yes,Better,1
193,43,7,2089,7,3,5,4,2,Research & Development,Very High,Very High,Very High,Research Scientist,No,Best,0
194,45,2,16792,22,1,20,8,8,Research & Development,Low,Medium,Very High,Manager,No,Better,0
195,37,21,3564,8,3,8,7,7,Research & Development,Medium,Very High,Low,Research Scientist,Yes,Good,0
196,35,2,4425,10,5,6,2,2,Research & Development,Medium,High,Medium,Laboratory Technician,No,Better,0
197,42,21,5265,11,5,5,3,2,Research & Development,High,High,High,Manufacturing Director,No,Better,0
198,38,2,6553,14,3,1,0,0,Research & Development,Very High,High,High,Manufacturing Director,No,Better,0
199,38,29,6261,9,3,7,7,7,Research & Development,Very High,High,Very High,Manufacturing Director,No,Bad,0
200,27,1,4298,6,1,2,2,0,Research & Development,High,Medium,Low,Manufacturing Director,No,Better,0
201,49,18,6804,7,0,7,7,7,Research & Development,Very High,High,Very High,Manufacturing Director,Yes,Better,0
202,34,10,3815,5,4,5,3,0,Research & Development,Very High,High,High,Research Scientist,Yes,Best,0
203,40,19,2741,15,2,7,2,7,Research & Development,High,High,Very High,Laboratory Technician,Yes,Best,0
204,38,29,6673,17,2,1,0,0,Research & Development,Medium,High,Low,Healthcare Representative,Yes,Better,1
205,29,27,7639,10,3,10,4,9,Sales,Medium,High,Very High,Sales Executive,No,Good,1
206,22,5,2328,4,2,4,2,2,Research & Development,Very High,Very High,Medium,Research Scientist,Yes,Good,0
207,36,18,2153,8,2,8,1,7,Research & Development,Medium,High,Very High,Laboratory Technician,No,Better,0
208,40,9,4876,5,5,3,2,2,Research & Development,Very High,Medium,Very High,Healthcare Representative,No,Bad,0
209,46,1,9396,17,3,4,2,3,Research & Development,Very High,High,Low,Healthcare Representative,No,Better,0
210,32,4,10400,14,2,14,8,8,Sales,Very High,Low,Very High,Sales Executive,No,Good,1
211,30,1,8474,12,2,11,8,8,Research & Development,High,Medium,High,Manufacturing Director,No,Better,0
212,27,20,9981,7,2,7,7,7,Sales,Very High,High,High,Sales Executive,No,Better,0
213,51,8,12490,16,5,10,9,7,Research & Development,Medium,Medium,Medium,Research Director,No,Bad,0
214,30,3,2657,8,5,5,2,4,Research & Development,Very High,High,Low,Research Scientist,Yes,Better,1
215,41,6,13591,16,3,1,0,0,Sales,Very High,High,Very High,Manager,Yes,Better,0
216,30,26,6696,9,5,6,3,1,Sales,High,Medium,Low,Sales Executive,No,Good,1
217,29,1,2058,7,1,6,2,5,Research & Development,High,High,High,Research Scientist,No,Good,1
218,45,6,8865,23,2,19,7,8,Sales,Very High,Medium,Very High,Sales Executive,No,Better,0
219,54,3,5940,16,4,6,2,5,Sales,Very High,High,Low,Sales Executive,No,Better,0
220,36,5,5914,16,3,13,11,7,Research & Development,Very High,High,Medium,Laboratory Technician,No,Best,0
221,33,4,2622,7,3,3,2,1,Research & Development,High,Medium,Medium,Research Scientist,No,Better,0
222,37,11,12185,10,1,10,8,7,Research & Development,Medium,High,Very High,Research Director,Yes,Better,0
223,38,3,10609,17,6,16,10,13,Sales,Low,High,High,Sales Executive,No,Good,0
224,31,1,4345,6,2,5,4,4,Research & Development,High,Low,High,Manufacturing Director,No,Better,0
225,59,3,2177,7,6,1,0,0,Research & Development,High,Medium,Very High,Research Scientist,No,Better,0
226,37,4,2793,13,2,9,8,8,Sales,Low,High,Very High,Sales Representative,No,Better,0
227,29,1,7918,11,5,11,10,1,Sales,Medium,High,Very High,Sales Executive,No,Better,0
228,35,1,8789,10,3,10,7,8,Sales,High,High,High,Sales Executive,No,Best,0
229,29,18,2389,4,3,4,3,1,Research & Development,High,Medium,Very High,Research Scientist,Yes,Good,1
230,52,2,3212,6,3,2,2,2,Research & Development,High,Medium,Very High,Laboratory Technician,No,Good,0
231,42,4,19232,22,3,22,17,15,Research & Development,High,High,Very High,Manager,No,Better,0
232,59,6,2267,7,2,2,2,2,Human Resources,Medium,High,High,Human Resources,No,Good,0
233,50,1,19517,32,3,7,0,6,Sales,Very High,High,Very High,Manager,No,Good,0
234,33,14,2436,8,2,5,4,4,Research & Development,High,High,Very High,Laboratory Technician,Yes,Bad,1
235,43,16,16064,22,3,17,13,9,Sales,Very High,High,Very High,Manager,Yes,Better,0
236,33,2,2707,13,3,9,7,7,Research & Development,Low,High,Low,Laboratory Technician,No,Best,1
237,52,2,19068,33,2,33,7,12,Sales,Low,Medium,High,Manager,Yes,Best,0
238,32,4,3931,6,5,4,3,2,Sales,High,High,Medium,Sales Representative,No,Better,0
239,32,1,3730,4,2,3,2,2,Research & Development,Very High,Medium,High,Laboratory Technician,Yes,Bad,1
240,39,1,2232,7,1,3,2,2,Research & Development,High,High,High,Laboratory Technician,No,Better,0
241,32,26,4465,4,2,3,2,2,Sales,High,High,Very High,Sales Executive,No,Better,0
242,41,19,3072,17,2,1,0,0,Research & Development,High,High,Low,Research Scientist,No,Good,0
243,40,24,3319,9,3,9,8,7,Research & Development,Low,High,Very High,Research Scientist,No,Better,0
244,45,1,19202,25,2,24,0,7,Research & Development,High,Very High,Very High,Manager,No,Better,0
245,31,3,13675,9,3,2,2,2,Research & Development,Medium,High,High,Research Director,No,Better,0
246,33,5,2911,2,2,2,2,2,Research & Development,High,Medium,Very High,Research Scientist,No,Good,0
247,34,2,5957,13,3,11,9,9,Research & Development,Very High,Medium,Low,Manufacturing Director,No,Better,0
248,37,1,3920,17,2,3,1,2,Research & Development,High,Medium,Low,Research Scientist,No,Good,0
249,45,7,6434,9,1,3,2,2,Research & Development,Low,Very High,High,Manufacturing Director,No,Better,0
250,37,10,10048,17,5,1,0,0,Research & Development,Low,High,High,Manufacturing Director,No,Better,1
251,39,2,10938,20,1,19,6,8,Research & Development,High,High,High,Healthcare Representative,No,Better,0
252,29,15,2340,6,1,6,5,5,Research & Development,High,High,Very High,Research Scientist,No,Better,0
253,42,17,6545,10,1,3,2,2,Research & Development,Very High,Very High,Low,Research Scientist,Yes,Better,0
254,29,20,6931,10,2,3,2,2,Sales,Very High,High,Very High,Sales Executive,No,Better,0
255,25,1,4898,5,3,4,2,2,Research & Development,Low,High,High,Manufacturing Director,No,Better,0
256,42,2,2593,10,4,9,6,8,Research & Development,Very High,Medium,Low,Laboratory Technician,Yes,Better,0
257,40,2,19436,22,5,21,7,9,Research & Development,Low,High,High,Research Director,No,Better,0
258,51,1,2723,1,0,1,0,0,Research & Development,High,High,Very High,Research Scientist,No,Good,0
259,31,29,3479,6,2,5,4,4,Research & Development,High,Medium,Medium,Laboratory Technician,No,Best,1
260,32,7,2794,5,3,5,1,3,Research & Development,Medium,Very High,Medium,Laboratory Technician,No,Bad,0
261,38,2,5249,13,0,8,7,5,Sales,Very High,Medium,Very High,Sales Executive,No,Better,0
262,32,2,2176,9,5,6,2,4,Research & Development,Very High,Medium,Low,Laboratory Technician,No,Better,0
263,46,2,16872,28,2,7,7,7,Sales,High,Low,Medium,Manager,Yes,Good,0
264,28,2,3485,5,5,0,0,0,Research & Development,Low,High,High,Laboratory Technician,No,Bad,1
265,29,2,6644,10,2,0,0,0,Sales,Low,Medium,Medium,Sales Executive,No,Better,0
266,31,23,5582,10,2,9,0,8,Research & Development,Medium,Medium,Very High,Healthcare Representative,No,Better,0
267,25,5,4000,6,2,6,3,5,Research & Development,Medium,Very High,Low,Healthcare Representative,No,Better,0
268,45,20,13496,21,2,20,7,10,Research & Development,High,High,Very High,Healthcare Representative,Yes,Better,0
269,36,6,3210,16,4,15,13,11,Research & Development,Very High,High,Very High,Laboratory Technician,No,Better,0
270,55,1,19045,37,2,36,10,13,Research & Development,Very High,High,Low,Manager,Yes,Better,0
271,47,29,11849,10,2,10,7,9,Research & Development,Low,High,Medium,Manager,Yes,Good,1
272,28,9,2070,5,3,5,2,4,Research & Development,Very High,High,Very High,Research Scientist,No,Good,0
273,37,6,6502,7,5,5,4,1,Sales,High,High,Very High,Sales Executive,No,Best,0
274,21,3,3230,3,4,3,2,0,Research & Development,Very High,Medium,High,Research Scientist,No,Best,0
275,37,1,13603,15,2,5,2,2,Research & Development,Low,High,Very High,Research Director,Yes,Better,0
276,35,22,11996,10,6,7,7,2,Research & Development,Medium,Very High,Medium,Manager,No,Good,0
277,38,7,5605,8,3,8,0,7,Sales,Low,Very High,Low,Sales Executive,Yes,Better,0
278,26,1,6397,6,6,6,5,4,Research & Development,High,High,Medium,Manufacturing Director,No,Bad,0
279,50,4,19144,28,4,10,4,6,Research & Development,Low,High,Medium,Research Director,No,Good,0
280,53,3,17584,21,5,5,3,3,Research & Development,High,High,High,Research Director,Yes,Good,0
281,42,1,4907,20,3,20,16,6,Sales,Medium,High,High,Sales Executive,No,Better,0
